,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Otwarcie_wig_d,Najwyzszy_wig_d,Najnizszy_wig_d,Zamkniecie_wig_d,Wolumen,Otwarcie_res,Najwyzszy_res,Najnizszy_res,Zamkniecie_res,Otwarcie_wig_d_res,Najwyzszy_wig_d_res,Najnizszy_wig_d_res,Zamkniecie_wig_d_res,Wolumen_res,Otwarcie_res.1,Najwyzszy_res.1,Najnizszy_res.1,Zamkniecie_res.1,Otwarcie_mkr_v_d,Najwyzszy_mkr_v_d,Najnizszy_mkr_v_d,Zamkniecie_mkr_v_d,Otwarcie_btc_v_d (1),Najwyzszy_btc_v_d (1),Najnizszy_btc_v_d (1),Zamkniecie_btc_v_d (1),Otwarcie_bnb_v_d,Najwyzszy_bnb_v_d,Najnizszy_bnb_v_d,Zamkniecie_bnb_v_d,Otwarcie_fw20_d,Najwyzszy_fw20_d,Najnizszy_fw20_d,Zamkniecie_fw20_d,Wolumen_fw20_d,LOP,Otwarcie_comp_v_d,Najwyzszy_comp_v_d,Najnizszy_comp_v_d,Zamkniecie_comp_v_d,Otwarcie_usdeur_d,Najwyzszy_usdeur_d,Najnizszy_usdeur_d,Zamkniecie_usdeur_d,Otwarcie_wig20_d,Najwyzszy_wig20_d,Najnizszy_wig20_d,Zamkniecie_wig20_d,Wolumen_wig20_d,Otwarcie_eurchf_d,Najwyzszy_eurchf_d,Najnizszy_eurchf_d,Zamkniecie_eurchf_d,Otwarcie_eurpln_d,Najwyzszy_eurpln_d,Najnizszy_eurpln_d,Zamkniecie_eurpln_d,Otwarcie_usdpln_d,Najwyzszy_usdpln_d,Najnizszy_usdpln_d,Zamkniecie_usdpln_d,Otwarcie_bch_v_d,Najwyzszy_bch_v_d,Najnizszy_bch_v_d,Zamkniecie_bch_v_d,Otwarcie_usdchf_d,Najwyzszy_usdchf_d,Najnizszy_usdchf_d,Zamkniecie_usdchf_d,Otwarcie_eurusd_d,Najwyzszy_eurusd_d,Najnizszy_eurusd_d,Zamkniecie_eurusd_d,Otwarcie_mkr_v_d.1,Najwyzszy_mkr_v_d.1,Najnizszy_mkr_v_d.1,Zamkniecie_mkr_v_d.1,Otwarcie_btc_v_d (1).1,Najwyzszy_btc_v_d (1).1,Najnizszy_btc_v_d (1).1,Zamkniecie_btc_v_d (1).1,Otwarcie_bnb_v_d.1,Najwyzszy_bnb_v_d.1,Najnizszy_bnb_v_d.1,Zamkniecie_bnb_v_d.1,Otwarcie_fw20_d.1,Najwyzszy_fw20_d.1,Najnizszy_fw20_d.1,Zamkniecie_fw20_d.1,Wolumen_fw20_d.1,LOP_fw20_d,Otwarcie_comp_v_d.1,Najwyzszy_comp_v_d.1,Najnizszy_comp_v_d.1,Zamkniecie_comp_v_d.1,Otwarcie_usdeur_d.1,Najwyzszy_usdeur_d.1,Najnizszy_usdeur_d.1,Zamkniecie_usdeur_d.1,Otwarcie_wig20_d.1,Najwyzszy_wig20_d.1,Najnizszy_wig20_d.1,Zamkniecie_wig20_d.1,Wolumen_wig20_d.1,Otwarcie_eurchf_d.1,Najwyzszy_eurchf_d.1,Najnizszy_eurchf_d.1,Zamkniecie_eurchf_d.1,Otwarcie_eurpln_d.1,Najwyzszy_eurpln_d.1,Najnizszy_eurpln_d.1,Zamkniecie_eurpln_d.1,Otwarcie_usdpln_d.1,Najwyzszy_usdpln_d.1,Najnizszy_usdpln_d.1,Zamkniecie_usdpln_d.1,Otwarcie_bch_v_d.1,Najwyzszy_bch_v_d.1,Najnizszy_bch_v_d.1,Zamkniecie_bch_v_d.1,Otwarcie_usdchf_d.1,Najwyzszy_usdchf_d.1,Najnizszy_usdchf_d.1,Zamkniecie_usdchf_d.1,Otwarcie_eurusd_d.1,Najwyzszy_eurusd_d.1,Najnizszy_eurusd_d.1,Zamkniecie_eurusd_d.1
Otwarcie,1.0,0.9984200595568076,0.9955027106846802,0.99620092215273,0.8515726806275893,0.8538158944824822,0.8487598533215045,0.8492353416781494,0.18896696198947974,1.0,0.9984200595568076,0.9955027106846802,0.99620092215273,0.8515726806275893,0.8538158944824822,0.8487598533215045,0.8492353416781494,0.18896696198947974,1.0,0.9984200595568076,0.9955027106846802,0.99620092215273,0.965937012042499,0.9602808924069657,0.9598565167102019,0.9607883922829419,0.983639548314879,0.9841197506411931,0.9818441531812891,0.982608058419574,0.8413327621487964,0.8496648856820586,0.8405933732221236,0.8482076593562979,0.7142920528217888,0.7220274255780349,0.7086247074505557,0.714027068642985,0.15700579567929915,0.41900208493688335,0.863570674339552,0.8625645574595258,0.8715281366211005,0.8721304213614754,-0.5391407167756864,-0.5399584570778875,-0.5260519696227952,-0.5289435903027584,0.7137981919985322,0.7194898622667284,0.7109419420686177,0.7105537626469284,-0.020317093115254897,0.7702959984765462,0.7584510510173041,0.7881298519354659,0.7748351006762925,0.5748427316211889,0.5388033797034348,0.5990702714624416,0.5681935772704808,-0.1561856967517845,-0.15900194139177504,-0.1348206312292234,-0.1437473874831522,0.9531519145543712,0.9526014788548651,0.9587727849668829,0.9566856351496996,-0.1916680007298107,-0.16843013961505351,-0.17454584310449792,-0.16631218967482422,0.541615642999063,0.52786599559175,0.5419934181732395,0.5307958000194354,0.965937012042499,0.9602808924069657,0.9598565167102019,0.9607883922829419,0.983639548314879,0.9841197506411931,0.9818441531812891,0.982608058419574,0.8413327621487964,0.8496648856820586,0.8405933732221236,0.8482076593562979,0.7142920528217888,0.7220274255780349,0.7086247074505557,0.714027068642985,0.15700579567929915,0.41900208493688335,0.863570674339552,0.8625645574595258,0.8715281366211005,0.8721304213614754,-0.5391407167756864,-0.5399584570778875,-0.5260519696227952,-0.5289435903027584,0.7137981919985322,0.7194898622667284,0.7109419420686177,0.7105537626469284,-0.020317093115254897,0.7702959984765463,0.7584510510173036,0.7881298519354668,0.7748351006762925,0.5748427316211886,0.538803379703435,0.5990702714624416,0.5681935772704806,-0.15618569675178423,-0.15900194139177448,-0.13482063122922336,-0.14374738748315194,0.9531519145543712,0.9526014788548651,0.9587727849668829,0.9566856351496996,-0.19166800072981074,-0.16843013961505382,-0.1745458431044982,-0.16631218967482417,0.5416156429990626,0.5278659955917501,0.5419934181732395,0.530795800019435
Najwyzszy,0.9984200595568076,1.0,0.9960300741025826,0.9981925576216323,0.8553216896561855,0.8580898129667974,0.8526495143884625,0.8532943448646343,0.195166696571401,0.9984200595568076,1.0,0.9960300741025826,0.9981925576216323,0.8553216896561855,0.8580898129667974,0.8526495143884625,0.8532943448646343,0.195166696571401,0.9984200595568076,1.0,0.9960300741025826,0.9981925576216323,0.9642463507341908,0.9616835697339077,0.9604966241236403,0.9621155630483433,0.9809007486171641,0.9832743495179985,0.9804708928219004,0.9821356803428061,0.8297234849352142,0.8391492011404958,0.830474789971,0.8381226944738903,0.7191523248190782,0.7274157360966856,0.7136547564712018,0.7189783294559069,0.15412426623009257,0.41752757924821005,0.8597758615523334,0.860895525060451,0.8695469174897984,0.871340033471968,-0.5458674635731953,-0.5474313214720434,-0.533394798592766,-0.5366433958289011,0.7186731964307075,0.7248692038355017,0.7159534631363937,0.715557065735596,-0.02259224981721248,0.7642529118682612,0.752581991215077,0.7831759793455283,0.7697152609254886,0.574431128237196,0.5370331410800869,0.5975189009190596,0.5664263830343799,-0.162600926734094,-0.16685164718202655,-0.14213815474629243,-0.15176924707929187,0.9489206279385474,0.9510953653795952,0.9586893056265884,0.9567237598010551,-0.20246486102795028,-0.18014698281930588,-0.1855870600063273,-0.17765419529230092,0.5485604028221001,0.5354473017812206,0.5497137450835067,0.5387411932676938,0.9642463507341908,0.9616835697339077,0.9604966241236403,0.9621155630483433,0.9809007486171641,0.9832743495179985,0.9804708928219004,0.9821356803428061,0.8297234849352142,0.8391492011404958,0.830474789971,0.8381226944738903,0.7191523248190782,0.7274157360966856,0.7136547564712018,0.7189783294559069,0.15412426623009257,0.41752757924821005,0.8597758615523334,0.860895525060451,0.8695469174897984,0.871340033471968,-0.5458674635731953,-0.5474313214720434,-0.533394798592766,-0.5366433958289011,0.7186731964307075,0.7248692038355017,0.7159534631363937,0.715557065735596,-0.02259224981721248,0.7642529118682612,0.7525819912150764,0.7831759793455291,0.7697152609254885,0.5744311282371957,0.537033141080087,0.5975189009190595,0.5664263830343794,-0.1626009267340938,-0.16685164718202622,-0.14213815474629252,-0.15176924707929174,0.9489206279385474,0.9510953653795952,0.9586893056265884,0.9567237598010551,-0.2024648610279504,-0.18014698281930625,-0.18558706000632771,-0.1776541952923008,0.5485604028220998,0.5354473017812205,0.5497137450835067,0.5387411932676938
Najnizszy,0.9955027106846802,0.9960300741025826,1.0,0.9981052168688259,0.8433516083530241,0.8461822636933726,0.8424122702341231,0.8432537251084989,0.1898622937049888,0.9955027106846802,0.9960300741025826,1.0,0.9981052168688259,0.8433516083530241,0.8461822636933726,0.8424122702341231,0.8432537251084989,0.1898622937049888,0.9955027106846802,0.9960300741025826,1.0,0.9981052168688259,0.962830267979288,0.959743267396633,0.9659191424599912,0.9634277269872161,0.9789184480760977,0.9813326608569767,0.983424417081009,0.982935766423098,0.8398752651720668,0.8516512243739043,0.845419376665009,0.8529640423839947,0.7043151494242682,0.7128852966325657,0.7006202394986272,0.7067896822861286,0.15811828647563966,0.42518315795588885,0.86831467020198,0.8690552361103506,0.8830526189030851,0.8821671955173496,-0.5249570407516262,-0.5267524528564845,-0.512519476887258,-0.5161076432260109,0.7034666225418482,0.7099835924242326,0.7028134301064051,0.7030814284124175,-0.01820641897818792,0.7761046807739568,0.7627527980331529,0.7945846312027529,0.7798383998935319,0.5821126822157855,0.5450798513129891,0.6039914760146368,0.5726268038668713,-0.1389755278628707,-0.1432211712574382,-0.11965768796694348,-0.1294495904438894,0.9380143214575485,0.9401251561626461,0.9601417471525039,0.9538422574207658,-0.17252002782601633,-0.15114250831514,-0.15628380376454434,-0.14919540716797508,0.526938449675701,0.5138825345340086,0.5283449796848549,0.517528180421085,0.962830267979288,0.959743267396633,0.9659191424599912,0.9634277269872161,0.9789184480760977,0.9813326608569767,0.983424417081009,0.982935766423098,0.8398752651720668,0.8516512243739043,0.845419376665009,0.8529640423839947,0.7043151494242682,0.7128852966325657,0.7006202394986272,0.7067896822861286,0.15811828647563966,0.42518315795588885,0.86831467020198,0.8690552361103506,0.8830526189030851,0.8821671955173496,-0.5249570407516262,-0.5267524528564845,-0.512519476887258,-0.5161076432260109,0.7034666225418482,0.7099835924242326,0.7028134301064051,0.7030814284124175,-0.01820641897818792,0.7761046807739568,0.7627527980331527,0.7945846312027539,0.7798383998935318,0.5821126822157852,0.5450798513129889,0.6039914760146368,0.5726268038668706,-0.13897552786287054,-0.1432211712574379,-0.11965768796694362,-0.12944959044388915,0.9380143214575485,0.9401251561626461,0.9601417471525039,0.9538422574207658,-0.17252002782601641,-0.15114250831514034,-0.156283803764545,-0.14919540716797505,0.5269384496757007,0.5138825345340088,0.528344979684855,0.5175281804210846
Zamkniecie,0.99620092215273,0.9981925576216323,0.9981052168688259,1.0,0.8496665573372977,0.8527149070596204,0.8483059898997638,0.8493632475910408,0.1936273119670813,0.99620092215273,0.9981925576216323,0.9981052168688259,1.0,0.8496665573372977,0.8527149070596204,0.8483059898997638,0.8493632475910408,0.1936273119670813,0.99620092215273,0.9981925576216323,0.9981052168688259,1.0,0.9626918765593916,0.9606710850276083,0.9632685574981003,0.9639463274898156,0.9783862245949008,0.9813990522921506,0.981137298740774,0.9828684319922351,0.83017112577177,0.8413253141843923,0.8336124004779222,0.8422219812167502,0.7126099817368525,0.7215431488582658,0.708634538365888,0.7147995250641177,0.1553636778115284,0.42269941590048843,0.8628089041624425,0.8643009880447234,0.8757984979434588,0.8777476567329084,-0.5352970548049457,-0.5374815878900366,-0.5230108714613435,-0.5269841866403795,0.7120593272625332,0.7187887336524865,0.7108523176005968,0.7112139914372965,-0.02111638431728428,0.764528995254123,0.7521601685157988,0.7840049850099403,0.7700932126518202,0.5776462676453705,0.5399972412187811,0.5991524679672708,0.5675604021840004,-0.1510412180843793,-0.15625145538740084,-0.13160374961231772,-0.1423009614870196,0.9426163793980652,0.9451933860054039,0.9600214326114254,0.9575143725074796,-0.1903356584948628,-0.16889179389285802,-0.1738163255339315,-0.16660077285047906,0.5376528257292215,0.5247299167998458,0.5394526278537213,0.5287723366281012,0.9626918765593916,0.9606710850276083,0.9632685574981003,0.9639463274898156,0.9783862245949008,0.9813990522921506,0.981137298740774,0.9828684319922351,0.83017112577177,0.8413253141843923,0.8336124004779222,0.8422219812167502,0.7126099817368525,0.7215431488582658,0.708634538365888,0.7147995250641177,0.1553636778115284,0.42269941590048843,0.8628089041624425,0.8643009880447234,0.8757984979434588,0.8777476567329084,-0.5352970548049457,-0.5374815878900366,-0.5230108714613435,-0.5269841866403795,0.7120593272625332,0.7187887336524865,0.7108523176005968,0.7112139914372965,-0.02111638431728428,0.764528995254123,0.7521601685157988,0.7840049850099412,0.7700932126518204,0.5776462676453704,0.539997241218781,0.5991524679672707,0.5675604021840001,-0.15104121808437898,-0.1562514553874001,-0.1316037496123178,-0.1423009614870194,0.9426163793980652,0.9451933860054039,0.9600214326114254,0.9575143725074796,-0.19033565849486284,-0.1688917938928585,-0.17381632553393186,-0.16660077285047878,0.5376528257292212,0.5247299167998456,0.5394526278537215,0.5287723366281011
Otwarcie_wig_d,0.8515726806275893,0.8553216896561855,0.8433516083530241,0.8496665573372977,1.0,0.9958685501918336,0.9941876484006477,0.9881635567666003,0.24665326434140017,0.8515726806275893,0.8553216896561855,0.8433516083530241,0.8496665573372977,1.0,0.9958685501918336,0.9941876484006477,0.9881635567666003,0.24665326434140017,0.8515726806275893,0.8553216896561855,0.8433516083530241,0.8496665573372977,0.7798456516959545,0.7793374950064732,0.7712564560199094,0.775598314283802,0.8515077896758445,0.8557697192356155,0.8465361389751518,0.852239098962597,0.6316813138065344,0.6370465957399347,0.6310820804972987,0.6358451734130467,0.9715846116466743,0.9683824586007795,0.9637103624801768,0.9567185262706502,-0.0033937046624989142,0.2679719109484573,0.7087547090884307,0.7123971440153883,0.713398095475488,0.7170086164558638,-0.6144926100492326,-0.6215068703569415,-0.6126858199413945,-0.6154766815858635,0.9718669032354299,0.9679380435666946,0.9641289360344365,0.9555506384586334,-0.034531650683154426,0.6657892081211934,0.6609509259244722,0.680921564434233,0.6655446901118319,0.27365851550004205,0.2414218942043956,0.29898461367670826,0.27588033658669575,-0.4010299290793381,-0.4140034834533773,-0.3869815516170724,-0.3950866860510951,0.8467788590007537,0.8537450781380379,0.8459627769677179,0.8466726821546067,-0.3332768854298422,-0.32170907107820146,-0.32444314445316796,-0.32260006440724304,0.6242717670081497,0.6219261810505823,0.6308940943673313,0.6247413966343999,0.7798456516959545,0.7793374950064732,0.7712564560199094,0.775598314283802,0.8515077896758445,0.8557697192356155,0.8465361389751518,0.852239098962597,0.6316813138065344,0.6370465957399347,0.6310820804972987,0.6358451734130467,0.9715846116466743,0.9683824586007795,0.9637103624801768,0.9567185262706502,-0.0033937046624989142,0.2679719109484573,0.7087547090884307,0.7123971440153883,0.713398095475488,0.7170086164558638,-0.6144926100492326,-0.6215068703569415,-0.6126858199413945,-0.6154766815858635,0.9718669032354299,0.9679380435666946,0.9641289360344365,0.9555506384586334,-0.034531650683154426,0.6657892081211936,0.6609509259244725,0.680921564434233,0.6655446901118327,0.27365851550004194,0.2414218942043955,0.2989846136767083,0.2758803365866955,-0.40102992907933793,-0.4140034834533771,-0.38698155161707287,-0.3950866860510947,0.8467788590007537,0.8537450781380379,0.8459627769677179,0.8466726821546067,-0.3332768854298422,-0.3217090710782019,-0.3244431444531686,-0.322600064407243,0.6242717670081492,0.6219261810505824,0.6308940943673317,0.6247413966343999
Najwyzszy_wig_d,0.8538158944824822,0.8580898129667974,0.8461822636933726,0.8527149070596204,0.9958685501918336,1.0,0.9948470385421463,0.9952040508785301,0.26491126496411493,0.8538158944824822,0.8580898129667974,0.8461822636933726,0.8527149070596204,0.9958685501918336,1.0,0.9948470385421463,0.9952040508785301,0.26491126496411493,0.8538158944824822,0.8580898129667974,0.8461822636933726,0.8527149070596204,0.7786688413982134,0.7785899263540983,0.770778727491491,0.775060006558601,0.8534387485837422,0.8580653513963414,0.8487926823733191,0.8548344379613096,0.6277262606557633,0.6332771466097221,0.6280216274332454,0.6324933092375015,0.9660876070135614,0.9737524245645156,0.9637009654190798,0.9654513121870445,0.01577790646022036,0.28070654863145994,0.702684100670637,0.7077884918420995,0.7079760632087212,0.7125125140152727,-0.6238184413913478,-0.6313283145444049,-0.6232512335930104,-0.6262884865798602,0.9659366891237076,0.9729202525098612,0.9643616999114708,0.9640809950239557,-0.018898966318474743,0.6637516514916166,0.6609301871727018,0.6796037800969301,0.6652265735137207,0.2850328748556778,0.2511703761838441,0.30723808468674724,0.28366013336817203,-0.40286991665864863,-0.4171941613674053,-0.39138414425677975,-0.40026547317415573,0.8483013961130701,0.8558465894480033,0.8477416018778496,0.8488052146511983,-0.34481357030784693,-0.33297296543656507,-0.3368914520706312,-0.33474034460925556,0.6336503423229788,0.6325462077346493,0.6407888438172252,0.635602498716345,0.7786688413982134,0.7785899263540983,0.770778727491491,0.775060006558601,0.8534387485837422,0.8580653513963414,0.8487926823733191,0.8548344379613096,0.6277262606557633,0.6332771466097221,0.6280216274332454,0.6324933092375015,0.9660876070135614,0.9737524245645156,0.9637009654190798,0.9654513121870445,0.01577790646022036,0.28070654863145994,0.702684100670637,0.7077884918420995,0.7079760632087212,0.7125125140152727,-0.6238184413913478,-0.6313283145444049,-0.6232512335930104,-0.6262884865798602,0.9659366891237076,0.9729202525098612,0.9643616999114708,0.9640809950239557,-0.018898966318474743,0.6637516514916171,0.6609301871727019,0.6796037800969305,0.6652265735137213,0.28503287485567774,0.251170376183844,0.30723808468674724,0.28366013336817175,-0.4028699166586486,-0.41719416136740434,-0.3913841442567794,-0.4002654731741554,0.8483013961130701,0.8558465894480033,0.8477416018778496,0.8488052146511983,-0.3448135703078468,-0.3329729654365655,-0.33689145207063176,-0.3347403446092555,0.6336503423229785,0.6325462077346495,0.6407888438172256,0.6356024987163452
Najnizszy_wig_d,0.8487598533215045,0.8526495143884625,0.8424122702341231,0.8483059898997638,0.9941876484006477,0.9948470385421463,1.0,0.9956994826574421,0.22680681338882913,0.8487598533215045,0.8526495143884625,0.8424122702341231,0.8483059898997638,0.9941876484006477,0.9948470385421463,1.0,0.9956994826574421,0.22680681338882913,0.8487598533215045,0.8526495143884625,0.8424122702341231,0.8483059898997638,0.7777908393655488,0.7780887474268736,0.7714669990497084,0.774818566293525,0.8492530400236533,0.8536773483556448,0.8460497964376196,0.8513987672424509,0.6340738425753168,0.6401505030306335,0.6351536445840289,0.639751707946051,0.9660131268542713,0.9688557899989773,0.9715583220535505,0.9669861203709242,-0.03701226170439884,0.26372053746212254,0.7121344913378574,0.7165786878357622,0.7180673694730509,0.7213225795108062,-0.6024499130615201,-0.6116272437666298,-0.6021330184563847,-0.6053281334774763,0.966190181232924,0.9681882864770329,0.9721657619584607,0.9660085463501631,-0.05469945903152864,0.6707811625952314,0.6664651813354536,0.687232230021621,0.6700013612274204,0.27163048977548004,0.2352249234876543,0.2930506407054935,0.2676314073502404,-0.39127213097192814,-0.40901003251186546,-0.38064594425447346,-0.39079387917181224,0.8427543990787467,0.8498927376035776,0.8452552482563589,0.8457510509305585,-0.317058607090691,-0.3074013779942696,-0.30977253926786097,-0.3088514067564527,0.6120432907688175,0.6111939949191623,0.6208793962101061,0.6144132428215335,0.7777908393655488,0.7780887474268736,0.7714669990497084,0.774818566293525,0.8492530400236533,0.8536773483556448,0.8460497964376196,0.8513987672424509,0.6340738425753168,0.6401505030306335,0.6351536445840289,0.639751707946051,0.9660131268542713,0.9688557899989773,0.9715583220535505,0.9669861203709242,-0.03701226170439884,0.26372053746212254,0.7121344913378574,0.7165786878357622,0.7180673694730509,0.7213225795108062,-0.6024499130615201,-0.6116272437666298,-0.6021330184563847,-0.6053281334774763,0.966190181232924,0.9681882864770329,0.9721657619584607,0.9660085463501631,-0.05469945903152864,0.6707811625952316,0.6664651813354534,0.6872322300216211,0.6700013612274213,0.2716304897754798,0.23522492348765425,0.2930506407054935,0.26763140735024016,-0.3912721309719277,-0.40901003251186535,-0.3806459442544735,-0.39079387917181185,0.8427543990787467,0.8498927376035776,0.8452552482563589,0.8457510509305585,-0.3170586070906908,-0.30740137799426986,-0.30977253926786186,-0.3088514067564527,0.612043290768817,0.6111939949191623,0.6208793962101062,0.6144132428215333
Zamkniecie_wig_d,0.8492353416781494,0.8532943448646343,0.8432537251084989,0.8493632475910408,0.9881635567666003,0.9952040508785301,0.9956994826574421,1.0,0.23641406179838265,0.8492353416781494,0.8532943448646343,0.8432537251084989,0.8493632475910408,0.9881635567666003,0.9952040508785301,0.9956994826574421,1.0,0.23641406179838265,0.8492353416781494,0.8532943448646343,0.8432537251084989,0.8493632475910408,0.7740975233574693,0.7741562610891886,0.7678870881898213,0.7714149250391664,0.8501590538652027,0.8549323581299092,0.8471147055168765,0.8530473938909161,0.6297726603454536,0.635683721217486,0.6310879339103543,0.635561239121516,0.9585666268645012,0.9702255226012378,0.9661975339409355,0.9730951531679615,-0.008172699592295314,0.28203627712352775,0.7018725099854304,0.7074737031876106,0.7082785426862374,0.7127168048407194,-0.6114260567677343,-0.6202992367942506,-0.6114305732208224,-0.6150232536137908,0.9584191328496413,0.9690438958473319,0.9668093405854236,0.9719526352412626,-0.03957335959380888,0.665617579688018,0.6641782555320426,0.6828042386257975,0.6680352402785309,0.2858154984499495,0.24901936944956815,0.3051133759123733,0.27875387656139017,-0.39117319652878607,-0.4089045101273621,-0.38161972316077036,-0.392989100353112,0.8419515454533294,0.8498266040956948,0.8442933092348571,0.845648835542788,-0.32991620634886576,-0.31856152363074336,-0.32252310955470725,-0.3206712157131423,0.6212217131682013,0.6206648558069646,0.6297298198017892,0.6242617924129499,0.7740975233574693,0.7741562610891886,0.7678870881898213,0.7714149250391664,0.8501590538652027,0.8549323581299092,0.8471147055168765,0.8530473938909161,0.6297726603454536,0.635683721217486,0.6310879339103543,0.635561239121516,0.9585666268645012,0.9702255226012378,0.9661975339409355,0.9730951531679615,-0.008172699592295314,0.28203627712352775,0.7018725099854304,0.7074737031876106,0.7082785426862374,0.7127168048407194,-0.6114260567677343,-0.6202992367942506,-0.6114305732208224,-0.6150232536137908,0.9584191328496413,0.9690438958473319,0.9668093405854236,0.9719526352412626,-0.03957335959380888,0.6656175796880184,0.6641782555320422,0.6828042386257976,0.6680352402785315,0.2858154984499493,0.2490193694495681,0.3051133759123732,0.27875387656138984,-0.3911731965287858,-0.40890451012736134,-0.38161972316076986,-0.3929891003531116,0.8419515454533294,0.8498266040956948,0.8442933092348571,0.845648835542788,-0.3299162063488657,-0.31856152363074386,-0.32252310955470764,-0.3206712157131422,0.6212217131682011,0.6206648558069645,0.6297298198017893,0.6242617924129493
Wolumen,0.18896696198947974,0.195166696571401,0.1898622937049888,0.1936273119670813,0.24665326434140017,0.26491126496411493,0.22680681338882913,0.23641406179838265,1.0,0.18896696198947974,0.195166696571401,0.1898622937049888,0.1936273119670813,0.24665326434140017,0.26491126496411493,0.22680681338882913,0.23641406179838265,1.0,0.18896696198947974,0.195166696571401,0.1898622937049888,0.1936273119670813,0.17619306201790155,0.18006650118234435,0.1782949871607408,0.18118834044826237,0.18185233678194618,0.18832904531707068,0.17880045155269386,0.18653476232324953,0.06333751364977425,0.07083575461248141,0.06170136768221676,0.07008229559897348,0.2636603422778775,0.2866974180488159,0.24461053805775823,0.25478129360531,0.2562322046263393,0.10644065598936021,0.21647704593908426,0.21641535935586978,0.19876281451593417,0.20403052903909288,-0.04307033808496732,-0.03401044077976523,-0.05103431227015838,-0.04253640559391772,0.26363192607987185,0.28939228558424307,0.24427142164589977,0.2533583548527602,0.7225172678816653,0.02934680746723554,0.04948601383526391,0.024764137065133765,0.05247928650828174,0.03198644383146156,0.025824634025301576,0.029316873217422223,0.026910209996638287,-0.02261266848171044,-0.017320218611053928,-0.0309307700657444,-0.024727148590367204,0.20814728662012819,0.2076202183873885,0.21216201721572284,0.20888430207932146,-0.035043327707752196,-0.019884923619363525,-0.03691168827845873,-0.020849277376715297,0.05298957259253823,0.06033821943300509,0.04361898628411584,0.05186722894557908,0.17619306201790155,0.18006650118234435,0.1782949871607408,0.18118834044826237,0.18185233678194618,0.18832904531707068,0.17880045155269386,0.18653476232324953,0.06333751364977425,0.07083575461248141,0.06170136768221676,0.07008229559897348,0.2636603422778775,0.2866974180488159,0.24461053805775823,0.25478129360531,0.2562322046263393,0.10644065598936021,0.21647704593908426,0.21641535935586978,0.19876281451593417,0.20403052903909288,-0.04307033808496732,-0.03401044077976523,-0.05103431227015838,-0.04253640559391772,0.26363192607987185,0.28939228558424307,0.24427142164589977,0.2533583548527602,0.7225172678816653,0.029346807467235177,0.049486013835263534,0.024764137065133834,0.05247928650828144,0.03198644383146179,0.025824634025301493,0.02931687321742235,0.02691020999663796,-0.022612668481710358,-0.017320218611053567,-0.030930770065744427,-0.024727148590367194,0.20814728662012819,0.2076202183873885,0.21216201721572284,0.20888430207932146,-0.03504332770775204,-0.019884923619363632,-0.036911688278458615,-0.020849277376714985,0.05298957259253827,0.060338219433005165,0.043618986284115945,0.05186722894557904
Otwarcie_res,1.0,0.9984200595568076,0.9955027106846802,0.99620092215273,0.8515726806275893,0.8538158944824822,0.8487598533215045,0.8492353416781494,0.18896696198947974,1.0,0.9984200595568076,0.9955027106846802,0.99620092215273,0.8515726806275893,0.8538158944824822,0.8487598533215045,0.8492353416781494,0.18896696198947974,1.0,0.9984200595568076,0.9955027106846802,0.99620092215273,0.965937012042499,0.9602808924069657,0.9598565167102019,0.9607883922829419,0.983639548314879,0.9841197506411931,0.9818441531812891,0.982608058419574,0.8413327621487964,0.8496648856820586,0.8405933732221236,0.8482076593562979,0.7142920528217888,0.7220274255780349,0.7086247074505557,0.714027068642985,0.15700579567929915,0.41900208493688335,0.863570674339552,0.8625645574595258,0.8715281366211005,0.8721304213614754,-0.5391407167756864,-0.5399584570778875,-0.5260519696227952,-0.5289435903027584,0.7137981919985322,0.7194898622667284,0.7109419420686177,0.7105537626469284,-0.020317093115254897,0.7702959984765462,0.7584510510173041,0.7881298519354659,0.7748351006762925,0.5748427316211889,0.5388033797034348,0.5990702714624416,0.5681935772704808,-0.1561856967517845,-0.15900194139177504,-0.1348206312292234,-0.1437473874831522,0.9531519145543712,0.9526014788548651,0.9587727849668829,0.9566856351496996,-0.1916680007298107,-0.16843013961505351,-0.17454584310449792,-0.16631218967482422,0.541615642999063,0.52786599559175,0.5419934181732395,0.5307958000194354,0.965937012042499,0.9602808924069657,0.9598565167102019,0.9607883922829419,0.983639548314879,0.9841197506411931,0.9818441531812891,0.982608058419574,0.8413327621487964,0.8496648856820586,0.8405933732221236,0.8482076593562979,0.7142920528217888,0.7220274255780349,0.7086247074505557,0.714027068642985,0.15700579567929915,0.41900208493688335,0.863570674339552,0.8625645574595258,0.8715281366211005,0.8721304213614754,-0.5391407167756864,-0.5399584570778875,-0.5260519696227952,-0.5289435903027584,0.7137981919985322,0.7194898622667284,0.7109419420686177,0.7105537626469284,-0.020317093115254897,0.7702959984765463,0.7584510510173036,0.7881298519354668,0.7748351006762925,0.5748427316211886,0.538803379703435,0.5990702714624416,0.5681935772704806,-0.15618569675178423,-0.15900194139177448,-0.13482063122922336,-0.14374738748315194,0.9531519145543712,0.9526014788548651,0.9587727849668829,0.9566856351496996,-0.19166800072981074,-0.16843013961505382,-0.1745458431044982,-0.16631218967482417,0.5416156429990626,0.5278659955917501,0.5419934181732395,0.530795800019435
