Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-05-02,4.1902,4.2051,4.1884,4.2023
2014-05-05,4.1987,4.2064,4.198,4.1982
2014-05-06,4.1989,4.204,4.1904,4.192
2014-05-07,4.1917,4.2034,4.1813,4.1836
2014-05-08,4.1834,4.1912,4.1733,4.1739
2014-05-09,4.1741,4.1841,4.172,4.1801
2014-05-12,4.1769,4.1808,4.1728,4.1757
2014-05-13,4.1756,4.1852,4.1746,4.1776
2014-05-14,4.1774,4.1895,4.1761,4.1832
2014-05-15,4.1829,4.1957,4.1721,4.1885
2014-05-16,4.1889,4.1937,4.1825,4.1877
2014-05-19,4.184,4.1913,4.1823,4.1846
2014-05-20,4.1847,4.1894,4.1814,4.1819
2014-05-21,4.1818,4.1916,4.1718,4.172
2014-05-22,4.1715,4.1777,4.1506,4.1533
2014-05-23,4.1531,4.1651,4.1478,4.1507
2014-05-26,4.1498,4.1649,4.1488,4.1581
2014-05-27,4.1578,4.1667,4.1546,4.158
2014-05-28,4.1575,4.1693,4.1474,4.1489
2014-05-29,4.1489,4.1535,4.1328,4.1341
2014-05-30,4.1343,4.1443,4.1312,4.1329
2014-06-02,4.1339,4.1431,4.1314,4.1368
2014-06-03,4.1363,4.1545,4.1358,4.1489
2014-06-04,4.1488,4.1567,4.1225,4.123
2014-06-05,4.1234,4.1367,4.1041,4.1258
2014-06-06,4.1257,4.1282,4.0899,4.0923
2014-06-09,4.0897,4.105,4.0885,4.0975
2014-06-10,4.0981,4.1153,4.0962,4.1016
2014-06-11,4.1023,4.1176,4.0992,4.0995
2014-06-12,4.0997,4.1168,4.0989,4.1106
2014-06-13,4.1107,4.127,4.1097,4.1144
2014-06-16,4.1295,4.1496,4.1271,4.1372
2014-06-17,4.1374,4.146,4.1321,4.1378
2014-06-18,4.1377,4.1475,4.1181,4.1184
2014-06-19,4.118,4.1461,4.1127,4.1427
2014-06-20,4.1429,4.1711,4.1411,4.1686
2014-06-23,4.1664,4.167,4.1453,4.1568
2014-06-24,4.1571,4.1601,4.1461,4.1487
2014-06-25,4.1486,4.1541,4.13,4.1317
2014-06-26,4.1318,4.1586,4.1302,4.145
2014-06-27,4.1448,4.1574,4.1445,4.1538
2014-06-30,4.1492,4.1623,4.1483,4.1526
2014-07-01,4.1531,4.1634,4.1507,4.1541
2014-07-02,4.1537,4.1589,4.1389,4.1402
2014-07-03,4.1398,4.1527,4.1324,4.1388
2014-07-04,4.1387,4.1498,4.1361,4.1474
2014-07-07,4.139,4.1488,4.1361,4.1387
2014-07-08,4.1386,4.1418,4.1176,4.1195
2014-07-09,4.1204,4.1304,4.1183,4.1223
2014-07-10,4.1224,4.1427,4.1192,4.1363
2014-07-11,4.1359,4.1427,4.1343,4.1362
2014-07-14,4.1349,4.1417,4.1323,4.1326
2014-07-15,4.1325,4.1425,4.13,4.1312
2014-07-16,4.1314,4.1368,4.1243,4.1302
2014-07-17,4.1302,4.1546,4.1291,4.1512
2014-07-18,4.1519,4.1521,4.1379,4.1458
2014-07-21,4.1418,4.1515,4.1393,4.1402
2014-07-22,4.1414,4.1456,4.132,4.134
2014-07-23,4.134,4.1373,4.1277,4.1316
2014-07-24,4.1324,4.1411,4.1297,4.1348
2014-07-25,4.1346,4.1445,4.1343,4.1422
2014-07-28,4.1372,4.1476,4.133,4.1403
2014-07-29,4.14,4.1516,4.1382,4.1453
2014-07-30,4.1457,4.1617,4.1437,4.1522
2014-07-31,4.1522,4.1784,4.1516,4.1734
2014-08-01,4.1734,4.1907,4.1722,4.1828
2014-08-04,4.1785,4.1802,4.1651,4.1676
2014-08-05,4.1675,4.1859,4.1605,4.1833
2014-08-06,4.1834,4.2135,4.1804,4.1954
2014-08-07,4.1953,4.2136,4.1875,4.2086
2014-08-08,4.2086,4.2228,4.1915,4.1957
2014-08-11,4.1893,4.202,4.1824,4.1896
2014-08-12,4.1896,4.2102,4.1882,4.1954
2014-08-13,4.196,4.2008,4.182,4.1836
